Freq_Hz,Absorption_1_3oct,Reflection_1_3oct
12.5,-1.7296181901188,1.60227451957392
16,-0.0965732200247897,1.04624818502625
20,0.166767559477821,0.89911036303464
25,0.194894384832061,0.893958619392835
31.5,0.0775467514982935,0.952826497525162
40,0.054270885826959,0.959121343630761
50,0.0718129760424969,0.954093656546001
63,-0.0776135455179788,1.03506720301106
80,-0.025421849747474,1.01072271014975
100,-0.0665636538554724,1.03031217708434
125,-0.0087184040979923,1.00281594154311
160,-0.00776354463081182,1.00317813406457
200,-0.00365022082248954,1.00031144343751
250,0.0157667360590855,0.985982626080347
315,-0.512347204806622,1.08581441189514
400,0.00589023399867278,0.991080313554824
500,-0.00649337696614457,0.99970567665227
630,-0.00276353945967924,0.999492578457735
800,-0.00332469104860328,1.00053794937937
1000,-0.00119297764150154,1.000319550421
1250,0.000768282099228259,0.999584823231839
1600,-0.000430936181840808,1.00011691608867
